rep,Ne,divergence,mig_time,mig_rate,mig_model,mig_direction,D,ABBA,BABA,FST_AB,FST_BC
0,100000,shallow,recent,none,episodic,C_to_B,0.03551380455951443,436.13175,406.2167499999999,0.1395060305547022,0.19840281218825673
1,100000,shallow,recent,none,episodic,C_to_B,0.04821189203605874,416.5994999999986,378.2769999999985,0.13259209607080927,0.19522346551949124
2,100000,shallow,recent,none,episodic,C_to_B,0.019111704972161875,437.12312499999973,420.72812499999947,0.13336751969966718,0.2006575321309014
3,100000,shallow,recent,none,episodic,C_to_B,0.016489916150506247,411.1596249999989,397.8196249999995,0.14314740598529335,0.19958380081645163
4,100000,shallow,recent,none,episodic,C_to_B,-0.017025035910098858,414.19099999999935,428.538499999999,0.13310558844064713,0.1962660031278922
5,100000,shallow,recent,none,episodic,C_to_B,-0.05776704652431482,377.21012499999887,423.4626249999999,0.13646226438826548,0.20651301859527615
6,100000,shallow,recent,none,episodic,C_to_B,0.06967855002849759,439.1522499999995,381.9397500000004,0.13345502722899613,0.1962819197588017
7,100000,shallow,recent,none,episodic,C_to_B,0.005469404641281363,430.1744999999997,425.4944999999991,0.1374966379508701,0.19718367711545348
8,100000,shallow,recent,none,episodic,C_to_B,0.01742029584372532,413.6485000000006,399.4835000000005,0.12985039904847684,0.19592326776521657
9,100000,shallow,recent,none,episodic,C_to_B,-0.02564092450635953,370.54899999999935,390.0514999999986,0.1321361128913219,0.2010016079446998
0,100000,shallow,recent,none,episodic,symmetric,-0.023317343647495818,393.4192500000002,412.2042499999985,0.13519253786703642,0.19556426708519112
1,100000,shallow,recent,none,episodic,symmetric,-0.004962912198383978,361.89275000000043,365.50275000000005,0.13126959503501756,0.19877943261356448
2,100000,shallow,recent,none,episodic,symmetric,-0.04307792385627026,395.7101249999997,431.3376249999993,0.1405217607941803,0.20903126466908836
3,100000,shallow,recent,none,episodic,symmetric,-0.01743712776332309,420.50362500000045,435.42862499999904,0.14237780744296955,0.21296653268669047
4,100000,shallow,recent,none,episodic,symmetric,-0.03335533381849497,378.227999999999,404.33049999999963,0.13733513761363603,0.19889466162315683
5,100000,shallow,recent,none,episodic,symmetric,0.019402746420621935,432.7251249999994,416.2526249999993,0.13934158646724704,0.19944341515181171
6,100000,shallow,recent,none,episodic,symmetric,0.015345373178012198,403.2831249999991,391.0931249999992,0.13416645969642157,0.1993659777665216
7,100000,shallow,recent,none,episodic,symmetric,-0.022286264874023208,394.72649999999976,412.72150000000005,0.13247674158582462,0.20446191667349256
8,100000,shallow,recent,none,episodic,symmetric,-0.06007775041942047,352.8164999999996,397.91899999999833,0.13433496421152252,0.1969236471731582
9,100000,shallow,recent,none,episodic,symmetric,0.06397808329381344,391.4785000000005,344.398499999999,0.1299277001153652,0.1971089516169058
0,100000,shallow,recent,none,continuous,C_to_B,-0.05354096450068109,381.27699999999925,424.4144999999997,0.1333009353157763,0.1995460934167161
1,100000,shallow,recent,none,continuous,C_to_B,0.019945429967074838,399.69799999999884,384.0654999999994,0.12758549291218932,0.1922547529161328
2,100000,shallow,recent,none,continuous,C_to_B,-0.04752534146710811,383.4672500000003,421.73474999999866,0.1310797705165776,0.1978667903300969
3,100000,shallow,recent,none,continuous,C_to_B,-0.011527833609238137,390.36124999999953,399.46625000000006,0.127885513631707,0.19425189438320278
4,100000,shallow,recent,none,continuous,C_to_B,0.021147784546569622,412.12337499999984,395.05337499999956,0.13070628474798354,0.1975086181270299
5,100000,shallow,recent,none,continuous,C_to_B,0.0027635232074741827,409.57474999999874,407.31724999999875,0.12704621100534333,0.1913182937504327
6,100000,shallow,recent,none,continuous,C_to_B,-0.00938089737005478,406.03049999999985,413.7204999999996,0.13425809899278804,0.19979747094648206
7,100000,shallow,recent,none,continuous,C_to_B,0.015270788907505385,426.83049999999884,413.99050000000125,0.13332698604095822,0.19619568912478286
8,100000,shallow,recent,none,continuous,C_to_B,0.008957211038969938,377.772749999999,371.06524999999885,0.12973218145333154,0.19389453299811474
9,100000,shallow,recent,none,continuous,C_to_B,-0.01607043547645947,406.9237499999997,420.21624999999835,0.13796204712126242,0.19496115438550618
0,100000,shallow,recent,none,continuous,symmetric,0.040619320495376816,366.7335000000003,338.10350000000034,0.13218657284059057,0.2011496218294661
1,100000,shallow,recent,none,continuous,symmetric,0.039251209781270134,382.32674999999983,353.44675000000046,0.13106498858380278,0.19974841714699668
2,100000,shallow,recent,none,continuous,symmetric,-0.03530956554708092,381.02462499999916,408.91712499999994,0.13399757169591298,0.20392108508427909
3,100000,shallow,recent,none,continuous,symmetric,0.07238793636930524,444.4892499999978,384.4817499999987,0.13137634128897208,0.19960440172393243
4,100000,shallow,recent,none,continuous,symmetric,0.03524184634818035,413.0542499999985,384.9317499999995,0.1391437470660046,0.19786679664180412
5,100000,shallow,recent,none,continuous,symmetric,-0.02176410026544177,419.020499999999,437.6654999999992,0.1342130223105366,0.20030076272681877
6,100000,shallow,recent,none,continuous,symmetric,0.042254984062685394,401.37500000000074,368.8300000000001,0.13518477445602375,0.20183792937256959
7,100000,shallow,recent,none,continuous,symmetric,0.034497796242292884,388.44874999999956,362.54125000000005,0.13356369041301197,0.21077487971403652
8,100000,shallow,recent,none,continuous,symmetric,-0.061507059585720704,369.2126249999985,417.6076250000001,0.1354977793282348,0.1925894755385117
9,100000,shallow,recent,none,continuous,symmetric,0.012721083109360655,443.027749999999,431.8977500000001,0.13781667330304584,0.19823246698196573
0,100000,shallow,recent,low,episodic,C_to_B,0.025879050753027467,363.11424999999963,344.7942500000001,0.13352684968976508,0.20042115255852783
1,100000,shallow,recent,low,episodic,C_to_B,0.006448026825869111,387.4839999999997,382.519,0.13480631758238332,0.198361384760946
2,100000,shallow,recent,low,episodic,C_to_B,0.05105369930541505,446.79412499999887,403.3891249999985,0.1389023162850033,0.2011809346432184
3,100000,shallow,recent,low,episodic,C_to_B,0.04826402226315908,417.8806249999988,379.4006249999996,0.13447787477709078,0.1940575837028595
4,100000,shallow,recent,low,episodic,C_to_B,-0.03654924362636125,387.0687499999986,416.43624999999787,0.13408739577541953,0.19815670950465486
5,100000,shallow,recent,low,episodic,C_to_B,0.034248834364562976,421.37637500000005,393.4688749999992,0.13433151963965775,0.1981981523432283
6,100000,shallow,recent,low,episodic,C_to_B,0.0075079407170936955,388.4867499999998,382.696749999999,0.13643705919659155,0.19777572392039872
7,100000,shallow,recent,low,episodic,C_to_B,0.007062582792461192,424.20899999999943,418.25900000000024,0.14117930768418466,0.20536544062650736
8,100000,shallow,recent,low,episodic,C_to_B,0.0068720553549465185,430.9427499999996,425.0602499999993,0.13900731026693333,0.20666299161267254
